Experiment ID;Sheet;merge_number;Name_day0;Index_day0;Wells_day0;multiple_day0;Path 8bcrop_day0;Path segmented_day0;Area (pix2)_day0;Centroid_day0;Perimeter (pix)_day0;Solidity_day0;Equivalent Diameter (pix)_day0;Circularity_day0;Aspect ratio_day0;Mean grey value_day0;Homogeneity_day0;Energy_day0;Correlation_day0;Normalised alb_day0;Max temp (°C)_day0;Label_day0;Name_day1;Index_day1;Wells_day1;multiple_day1;Path 8bcrop_day1;Path segmented_day1;Area (um2)_day1;Centroid_day1;Perimeter (pix)_day1;Solidity_day1;Equivalent Diameter (pix)_day1;Circularity_day1;Aspect ratio_day1;Mean grey value_day1;Homogeneity_day1;Energy_day1;Correlation_day1;Area (pix2)_day1;Normalised alb_day1;Max temp (°C)_day1;Label_day1;Name_day2;Index_day2;Wells_day2;multiple_day2;Path 8bcrop_day2;Path segmented_day2;Area (um2)_day2;Centroid_day2;Perimeter (pix)_day2;Solidity_day2;Equivalent Diameter (pix)_day2;Circularity_day2;Aspect ratio_day2;Mean grey value_day2;Homogeneity_day2;Energy_day2;Correlation_day2;Normalised alb_day2;Max temp (°C)_day2;Label_day2;Area (pix2)_day2;Name_delta;Index_delta;Wells_delta;multiple_delta;Path 8bcrop_delta;Path segmented_delta;Area (um2)_delta;Centroid_delta;Perimeter (pix)_delta;Solidity_delta;Equivalent Diameter (pix)_delta;Circularity_delta;Aspect ratio_delta;Mean grey value_delta;Homogeneity_delta;Energy_delta;Correlation_delta;Area (pix2)_delta;Normalised alb_delta;Max temp (°C)_delta;Label_delta
1;Tube 5;1002050.0;;;;;;;;;;;;;;;;;;;;;1002050.0;0.0;205.0;False;G:\Experiments\PTT\Spheroids\01072025_mcf7\0307 before laser\Analysis\2025-07-03_104800_tube5_cropped_8bits2\10_0205_0_8bits.tiff;G:\Experiments\PTT\Spheroids\01072025_mcf7\0307 before laser\Analysis\2025-07-03_104800_tube5_segmentationDebug2\10_0205_0_segmented.tiff;1419.0;(77. 73);160.911687374115;0.919041450777202;42.5056103823859;0.688679382583463;0.782924510693669;373.66647271754;0.973178685008814;0.931413436178899;0.935095477821853;;;;;1002050.0;0.0;205.0;False;E:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_cropped_8bits\10_0205_0_8bits.tiff;E:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_segmentationDebug\10_0205_0_segmented.tiff;1599.0;(69. 70);202.02438509464264;0.7971086739780658;45.12105973967727;0.492323697534187;0.6872155122331066;1186.3988978135612;0.9727470982890624;0.922286946463569;0.8726921124423074;4.972058172864206;62.0;Dead;;0.0;0.0;0.0;;;;180.0;;41.11269772052765;-0.12193277679913617;2.615449357291368;-0.19635568504927597;-0.09570899846056236;812.7324250960212;-0.000431586719751631;-0.009126489715330033;-0.062403365379545606;;;;
1;Tube 5;107050.0;;;;;;;;;;;;;;;;;;;;;107050.0;0.0;705.0;False;G:\Experiments\PTT\Spheroids\01072025_mcf7\0307 before laser\Analysis\2025-07-03_104800_tube5_cropped_8bits2\1_0705_0_8bits.tiff;G:\Experiments\PTT\Spheroids\01072025_mcf7\0307 before laser\Analysis\2025-07-03_104800_tube5_segmentationDebug2\1_0705_0_segmented.tiff;2386.5;(75. 87);216.124890089035;0.90022632968691;55.1233722980594;0.64203947638528;0.731808820398729;431.120764833112;0.943066744583872;0.885827810479484;0.924498494559902;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Tube 5;108050.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;108050.0;0.0;805.0;False;E:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_cropped_8bits\1_0805_0_8bits.tiff;E:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_segmentationDebug\1_0805_0_segmented.tiff;2479.0;(62. 81);229.5391036272049;0.8850410567654409;56.18149901345165;0.591252551755992;0.69954274410667;429.23364572114656;0.9495264510923568;0.8822799505288021;0.9356590055682242;108.99813400534791;37.0;Alive;;;;;;;;;;;;;;;;;;;;;;
1;Tube 5;1102070.0;;;;;;;;;;;;;;;;;;;;;1102070.0;0.0;207.0;False;G:\Experiments\PTT\Spheroids\01072025_mcf7\0307 before laser\Analysis\2025-07-03_104800_tube5_cropped_8bits2\11_0207_0_8bits.tiff;G:\Experiments\PTT\Spheroids\01072025_mcf7\0307 before laser\Analysis\2025-07-03_104800_tube5_segmentationDebug2\11_0207_0_segmented.tiff;1279.5;(77. 73);177.639608979225;0.821772639691714;40.3622347930418;0.509530912527473;0.653405346839592;127.61939344382;0.976607588636347;0.937161939708758;0.938963956877284;;;;;1102070.0;0.0;207.0;False;E:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_cropped_8bits\11_0207_0_8bits.tiff;E:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_segmentationDebug\11_0207_0_segmented.tiff;1344.5;(75. 74);178.81118190288544;0.852568167406468;41.37475761737374;0.5284225262940914;0.7312621110658674;466.2563969974221;0.9750045500570572;0.9341492698116648;0.9234141223629624;45.77169459246292;54.0;Dead;;0.0;0.0;0.0;;;;65.0;;1.1715729236604489;0.030795527714754023;1.0125228243319384;0.01889161376661841;0.07785676422627541;338.6370035536021;-0.0016030385792897839;-0.0030126698970932564;-0.01554983451432157;;;;
1;Tube 5;1202100.0;;;;;;;;;;;;;;;;;;;;;1202100.0;0.0;210.0;False;G:\Experiments\PTT\Spheroids\01072025_mcf7\0307 before laser\Analysis\2025-07-03_104800_tube5_cropped_8bits2\12_0210_0_8bits.tiff;G:\Experiments\PTT\Spheroids\01072025_mcf7\0307 before laser\Analysis\2025-07-03_104800_tube5_segmentationDebug2\12_0210_0_segmented.tiff;1025.5;(71. 66);136.811181664466;0.915625;36.1345700559161;0.688497457355033;0.743111296812529;308.162642481476;0.980188134939038;0.949729685270343;0.931886497736388;;;;;1202100.0;0.0;210.0;False;E:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_cropped_8bits\12_0210_0_8bits.tiff;E:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_segmentationDebug\12_0210_0_segmented.tiff;1394.0;(74. 78);165.5391036272049;0.8990648178007095;42.12951370904744;0.6392510342418871;0.927675809232731;1018.3050626456876;0.9804414518925376;0.9322826686045076;0.8989104916987114;4.822730508050709;65.0;Dead;;0.0;0.0;0.0;;;;368.5;;28.72792196273889;-0.016560182199290563;5.994943653131337;-0.049246423113145865;0.184564512420202;710.1424201642117;0.000253316953499616;-0.01744701666583537;-0.032976006037676586;;;;
1;Tube 5;1302130.0;;;;;;;;;;;;;;;;;;;;;1302130.0;0.0;213.0;False;G:\Experiments\PTT\Spheroids\01072025_mcf7\0307 before laser\Analysis\2025-07-03_104800_tube5_cropped_8bits2\13_0213_0_8bits.tiff;G:\Experiments\PTT\Spheroids\01072025_mcf7\0307 before laser\Analysis\2025-07-03_104800_tube5_segmentationDebug2\13_0213_0_segmented.tiff;1149.5;(81. 63);154.124890446662;0.903694968553459;38.2568798606612;0.608097583826956;0.529790330516245;411.135924537392;0.977132295381073;0.943671460633127;0.927104465484338;;;;;1302130.0;0.0;213.0;False;E:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_cropped_8bits\13_0213_0_8bits.tiff;E:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_segmentationDebug\13_0213_0_segmented.tiff;1324.0;(68. 78);156.2253955602646;0.919763806877388;41.05811926074252;0.6817020236118234;0.7689685634604012;692.6725324828728;0.9700269712616012;0.9354181700346392;0.9023860433343168;27.32143200661755;62.0;Dead;;0.0;0.0;0.0;;;;174.5;;2.100505113602594;0.016068838323929024;2.8012394000813217;0.07360443978486741;0.2391782329441562;281.53660794548085;-0.007105324119471845;-0.008253290598487784;-0.02471842215002118;;;;
1;Tube 5;1402160.0;;;;;;;;;;;;;;;;;;;;;1402160.0;0.0;216.0;False;G:\Experiments\PTT\Spheroids\01072025_mcf7\0307 before laser\Analysis\2025-07-03_104800_tube5_cropped_8bits2\14_0216_0_8bits.tiff;G:\Experiments\PTT\Spheroids\01072025_mcf7\0307 before laser\Analysis\2025-07-03_104800_tube5_segmentationDebug2\14_0216_0_segmented.tiff;1142.0;(68. 75);151.254833221435;0.888715953307393;38.1318706607419;0.627274229726645;0.849846925747548;276.150399326679;0.978939388402949;0.944040104652248;0.943826779130002;;;;;1402160.0;0.0;216.0;False;E:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_cropped_8bits\14_0216_0_8bits.tiff;E:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_segmentationDebug\14_0216_0_segmented.tiff;1377.5;(75. 73);154.95331752300262;0.9304289091523134;41.879439739240624;0.7209409821652267;0.765837211872072;1091.705140507103;0.9738755296339188;0.9334378138770244;0.877540986000698;5.856962853240483;74.0;Dead;;0.0;0.0;0.0;;;;235.5;;3.6984843015676176;0.04171295584492041;3.747569078498721;0.09366675243858169;-0.08400971387547607;815.5547411804239;-0.0050638587690302606;-0.010602290775223566;-0.06628579312930405;;;;
1;Tube 5;1502190.0;;;;;;;;;;;;;;;;;;;;;1502190.0;0.0;219.0;False;G:\Experiments\PTT\Spheroids\01072025_mcf7\0307 before laser\Analysis\2025-07-03_104800_tube5_cropped_8bits2\15_0219_0_8bits.tiff;G:\Experiments\PTT\Spheroids\01072025_mcf7\0307 before laser\Analysis\2025-07-03_104800_tube5_segmentationDebug2\15_0219_0_segmented.tiff;1122.0;(74. 75);144.568541169166;0.911454102355808;37.7964914931644;0.674613648996934;0.802843164782235;258.381670838619;0.978257500008384;0.94514169818727;0.932640373727252;;;;;1502190.0;0.0;219.0;False;E:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_cropped_8bits\15_0219_0_8bits.tiff;E:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_segmentationDebug\15_0219_0_segmented.tiff;1205.5;(71. 79);143.1543276309967;0.9312475859405176;39.17767567350364;0.7392104805892508;0.9135495331202956;999.8790059197264;0.9756847934089152;0.9413222373951744;0.8840087994608669;12.410788142277283;69.0;Dead;;0.0;0.0;0.0;;;;83.5;;-1.4142135381692924;0.01979348358470956;1.3811841803392397;0.06459683159231677;0.11070636833806058;741.4973350811074;-0.0025727065994687326;-0.003819460792095608;-0.04863157426638509;;;;
1;Tube 5;1602210.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1602210.0;0.0;221.0;False;E:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_cropped_8bits\16_0221_0_8bits.tiff;E:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_segmentationDebug\16_0221_0_segmented.tiff;1162.5;(75. 71);145.63960886001587;0.9157148483654982;38.47260025985541;0.6887217808823074;0.7254241268054593;1249.9956739366223;0.9792169006782664;0.9430612472755352;0.8271093667776546;4.60150433795664;63.0;Dead;;;;;;;;;;;;;;;;;;;;;;
1;Tube 5;1602220.0;;;;;;;;;;;;;;;;;;;;;1602220.0;0.0;222.0;False;G:\Experiments\PTT\Spheroids\01072025_mcf7\0307 before laser\Analysis\2025-07-03_104800_tube5_cropped_8bits2\16_0222_0_8bits.tiff;G:\Experiments\PTT\Spheroids\01072025_mcf7\0307 before laser\Analysis\2025-07-03_104800_tube5_segmentationDebug2\16_0222_0_segmented.tiff;956.0;(76. 78);117.740113854408;0.970558375634517;34.8886371870099;0.866600336674721;0.930829421526926;468.881757822123;0.983685181467416;0.953415509147031;0.925522647010015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
