Experiment ID;Sheet;merge_number;Name_day0;Index_day0;Wells_day0;multiple_day0;Path 8bcrop_day0;Path segmented_day0;Area (pix2)_day0;Centroid_day0;Perimeter (pix)_day0;Solidity_day0;Equivalent Diameter (pix)_day0;Circularity_day0;Aspect ratio_day0;Mean grey value_day0;Homogeneity_day0;Energy_day0;Correlation_day0;Name_day1;Index_day1;Wells_day1;multiple_day1;Path 8bcrop_day1;Path segmented_day1;Area (pix2)_day1;Centroid_day1;Perimeter (pix)_day1;Solidity_day1;Equivalent Diameter (pix)_day1;Circularity_day1;Aspect ratio_day1;Mean grey value_day1;Homogeneity_day1;Energy_day1;Correlation_day1;Name_day2;Index_day2;Wells_day2;multiple_day2;Path 8bcrop_day2;Path segmented_day2;Area (pix2)_day2;Centroid_day2;Perimeter (pix)_day2;Solidity_day2;Equivalent Diameter (pix)_day2;Circularity_day2;Aspect ratio_day2;Mean grey value_day2;Homogeneity_day2;Energy_day2;Correlation_day2;Max temp (°C)_day2;Normalised alb_day2;Label_day2;Name_delta;Index_delta;Wells_delta;multiple_delta;Path 8bcrop_delta;Path segmented_delta;Area (pix2)_delta;Centroid_delta;Perimeter (pix)_delta;Solidity_delta;Equivalent Diameter (pix)_delta;Circularity_delta;Aspect ratio_delta;Mean grey value_delta;Homogeneity_delta;Energy_delta;Correlation_delta
1;Tube 1;1002040.0;1002040.0;0.0;204.0;False;G:\Experiments\PTT\Spheroids\14042025\15042025\Analysis\2025-04-15_155122_tube1_cropped_8bits2\10_0204_0_8bits.tiff;G:\Experiments\PTT\Spheroids\14042025\15042025\Analysis\2025-04-15_155122_tube1_segmentationDebug2\10_0204_0_segmented.tiff;2525.5;(75. 74);212.752306938171;0.932090791658977;56.7059650321608;0.701146355468346;0.894556060350414;572.124321598826;0.967070656358931;0.880682747081184;0.926774963940769;1002040.0;0.0;204.0;False;G:\Experiments\PTT\Spheroids\14042025\16042025 before laser\Analysis\2025-04-16_092220_tube1_cropped_8bits2\10_0204_0_8bits.tiff;G:\Experiments\PTT\Spheroids\14042025\16042025 before laser\Analysis\2025-04-16_092220_tube1_segmentationDebug2\10_0204_0_segmented.tiff;3089.0;(77. 76);231.823375225067;0.943206106870229;62.7139295028378;0.722292862081446;0.762388543683626;840.344156138957;0.934876079639199;0.854644555084941;0.913212930306172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Tube 1;1002050.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1002050.0;0.0;205.0;False;E:\Experiments\PTT\Spheroids\14042025\16042025 after laser\Analysis\2025-04-16_154549_tube1_cropped_8bits\10_0205_0_8bits.tiff;E:\Experiments\PTT\Spheroids\14042025\16042025 after laser\Analysis\2025-04-16_154549_tube1_segmentationDebug\10_0205_0_segmented.tiff;3018.0;(78. 78);207.33809435367584;0.9805068226120858;61.98900665449255;0.8822078019927732;0.9031890646068926;351.1090397741168;0.9600167876340004;0.8593786026318329;0.9333091936615872;;;Dead;;;;;;;;;;;;;;;;;
1;Tube 1;106050.0;106050.0;0.0;605.0;False;G:\Experiments\PTT\Spheroids\14042025\15042025\Analysis\2025-04-15_155122_tube1_cropped_8bits2\1_0605_0_8bits.tiff;G:\Experiments\PTT\Spheroids\14042025\15042025\Analysis\2025-04-15_155122_tube1_segmentationDebug2\1_0605_0_segmented.tiff;2661.0;(76. 75);200.994947314262;0.964130434782608;58.2073056285915;0.827721923606323;0.912607040791416;621.65963054145;0.942273838044893;0.87479954555537;0.917992499823723;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Tube 1;1102070.0;1102070.0;0.0;207.0;False;G:\Experiments\PTT\Spheroids\14042025\15042025\Analysis\2025-04-15_155122_tube1_cropped_8bits2\11_0207_0_8bits.tiff;G:\Experiments\PTT\Spheroids\14042025\15042025\Analysis\2025-04-15_155122_tube1_segmentationDebug2\11_0207_0_segmented.tiff;2231.5;(75. 77);181.923880338668;0.974879860200961;53.3032273326532;0.847280738913207;0.879122497153764;603.705533063427;0.9746056081895;0.895180241638573;0.893124317449018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Tube 1;1202100.0;1202100.0;0.0;210.0;False;G:\Experiments\PTT\Spheroids\14042025\15042025\Analysis\2025-04-15_155122_tube1_cropped_8bits2\12_0210_0_8bits.tiff;G:\Experiments\PTT\Spheroids\14042025\15042025\Analysis\2025-04-15_155122_tube1_segmentationDebug2\12_0210_0_segmented.tiff;3028.0;(78. 71);244.79393684864;0.899316899316899;62.0916205414069;0.634986396225449;0.73830457899695;479.901621682784;0.945536491449621;0.857460865214432;0.937784946990611;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Tube 1;1302130.0;1302130.0;0.0;213.0;False;G:\Experiments\PTT\Spheroids\14042025\15042025\Analysis\2025-04-15_155122_tube1_cropped_8bits2\13_0213_0_8bits.tiff;G:\Experiments\PTT\Spheroids\14042025\15042025\Analysis\2025-04-15_155122_tube1_segmentationDebug2\13_0213_0_segmented.tiff;2484.5;(78. 74);202.752306938171;0.948463447222752;56.2437876471216;0.759481599524964;0.725727953595289;574.261287412423;0.946098107205865;0.882796079010235;0.92419937999685;1302130.0;0.0;213.0;False;G:\Experiments\PTT\Spheroids\14042025\16042025 before laser\Analysis\2025-04-16_092220_tube1_cropped_8bits2\13_0213_0_8bits.tiff;G:\Experiments\PTT\Spheroids\14042025\16042025 before laser\Analysis\2025-04-16_092220_tube1_segmentationDebug2\13_0213_0_segmented.tiff;3206.5;(75. 80);229.237587571144;0.949652006515622;63.895560097657;0.766777656771893;0.95634711158973;614.76324039653;0.946354412513572;0.850137021292449;0.937205493811929;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Tube 1;1302140.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1302140.0;0.0;214.0;False;E:\Experiments\PTT\Spheroids\14042025\16042025 after laser\Analysis\2025-04-16_154549_tube1_cropped_8bits\13_0214_0_8bits.tiff;E:\Experiments\PTT\Spheroids\14042025\16042025 after laser\Analysis\2025-04-16_154549_tube1_segmentationDebug\13_0214_0_segmented.tiff;3312.5;(74. 83);228.89444279670715;0.963356114584848;64.94309810853827;0.7945024730213299;0.9125367499204142;661.195084279125;0.9459868967330476;0.8453288453129739;0.9238087523930324;;;Dead;;;;;;;;;;;;;;;;;
1;Tube 1;1502190.0;1502190.0;0.0;219.0;False;G:\Experiments\PTT\Spheroids\14042025\15042025\Analysis\2025-04-15_155122_tube1_cropped_8bits2\15_0219_0_8bits.tiff;G:\Experiments\PTT\Spheroids\14042025\15042025\Analysis\2025-04-15_155122_tube1_segmentationDebug2\15_0219_0_segmented.tiff;2119.5;(74. 78);189.095452785491;0.940536942533836;51.9483514181747;0.744871082081243;0.948452337424767;521.859740327085;0.953363364309135;0.899283042785442;0.918389180253189;1502190.0;0.0;219.0;False;G:\Experiments\PTT\Spheroids\14042025\16042025 before laser\Analysis\2025-04-16_092220_tube1_cropped_8bits2\15_0219_0_8bits.tiff;G:\Experiments\PTT\Spheroids\14042025\16042025 before laser\Analysis\2025-04-16_092220_tube1_segmentationDebug2\15_0219_0_segmented.tiff;2874.5;(80. 73);272.551296114921;0.862824553504427;60.4973311092417;0.486267980913747;0.837983931618406;730.199834245419;0.939746014373867;0.86289140765814;0.908127754502465;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Tube 1;1502200.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1502200.0;0.0;220.0;False;E:\Experiments\PTT\Spheroids\14042025\16042025 after laser\Analysis\2025-04-16_154549_tube1_cropped_8bits\15_0220_0_8bits.tiff;E:\Experiments\PTT\Spheroids\14042025\16042025 after laser\Analysis\2025-04-16_154549_tube1_segmentationDebug\15_0220_0_segmented.tiff;2855.0;(69. 71);204.65180146694183;0.9734060688714626;60.29178136544723;0.8566133388355968;0.9854029666555016;794.08173408471;0.9507508480024864;0.8662811397447652;0.9147084256550764;;;Dead;;;;;;;;;;;;;;;;;
1;Tube 1;1602220.0;1602220.0;0.0;222.0;False;G:\Experiments\PTT\Spheroids\14042025\15042025\Analysis\2025-04-15_155122_tube1_cropped_8bits2\16_0222_0_8bits.tiff;G:\Experiments\PTT\Spheroids\14042025\15042025\Analysis\2025-04-15_155122_tube1_segmentationDebug2\16_0222_0_segmented.tiff;1851.0;(74. 74);167.539103865623;0.967337339952965;48.5465384688217;0.828674369372082;0.969123012059686;584.619182316987;0.957734647625066;0.91182179296611;0.914918525233017;1602220.0;0.0;222.0;False;G:\Experiments\PTT\Spheroids\14042025\16042025 before laser\Analysis\2025-04-16_092220_tube1_cropped_8bits2\16_0222_0_8bits.tiff;G:\Experiments\PTT\Spheroids\14042025\16042025 before laser\Analysis\2025-04-16_092220_tube1_segmentationDebug2\16_0222_0_segmented.tiff;2545.5;(72. 72);194.752306938171;0.970268724985706;56.93005586791;0.843369214220302;0.939408443669061;619.902044275751;0.950793959923055;0.880133911456376;0.914029126837216;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
